ID,Company,Product,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,CPU,GPU,MemoryType,MemorySize,price
184,Toshiba,Satellite Pro,Notebook,15.6,1049088,8,Windows 10,2,Intel Core i5,Intel HD Graphics, SSD,128,ideal price
185,Xiaomi,Mi Notebook,Notebook,15.6,2073600,8,No OS,1.95,Intel Core i5,Nvidia GeForce Graphics, SSD,256,moderetly expensive
186,Dell,Inspiron 7773,Notebook,17.3,2073600,16,Windows 10,2.77,Intel Core i7,Nvidia GeForce Graphics, SSD,512,expinsive
187,Dell,XPS 15,Notebook,15.6,8294400,16,Windows 10,2.06,Intel Core i7,Nvidia GeForce Graphics, SSD,512,very expensive
188,Lenovo,Legion Y520-15IKBN,Gaming,15.6,2073600,8,No OS,2.4,Intel Core i5,Nvidia GeForce Graphics, SSD,256,ideal price
189,Acer,Swift 7,Ultrabook,13.3,2073600,8,Windows 10,1.12,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
190,Dell,Inspiron 5770,Notebook,17.3,2073600,8,Windows 10,2.8,Intel Core i7,AMD Radeon Graphics, SSD&HDD,1128,moderetly expensive
191,Lenovo,Thinkpad Yoga,2 in 1 Convertible,14,3686400,16,Windows 10,1.42,Intel Core i7,Intel HD Graphics, SSD,1000,very expensive
192,Vero,K147 (N3350/4GB/32GB/FHD/W10),Notebook,14,2073600,4,Windows 10,1.3,Intel Celeron,Intel HD Graphics, Flash Storage,32,inexpensive
193,Xiaomi,Mi Notebook,Ultrabook,13.3,2073600,8,No OS,1.3,Intel Core i5,Nvidia GeForce Graphics, SSD,256,ideal price
194,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,1440000,8,No OS,2.8,Intel Core i5,Nvidia GeForce Graphics, SSD,256,ideal price
195,Dell,Inspiron 5379,2 in 1 Convertible,13.3,2073600,8,Windows 10,1.62,Intel Core i7,Intel UHD Graphics, HDD,1000,ideal price
196,HP,ProBook 470,Notebook,17.3,2073600,8,Windows 10,2.5,Intel Core i5,Nvidia GeForce Graphics, HDD,1000,ideal price
197,Razer,Blade Pro,Gaming,17.3,8294400,32,Windows 10,3.49,Intel Core i7,Nvidia GeForce Graphics, SSD,1000,very expensive
198,HP,ProBook 430,Notebook,13.3,2073600,8,Windows 10,1.49,Intel Core i5,Intel UHD Graphics, SSD,512,ideal price
199,HP,Omen 17-W295,Gaming,17.3,2073600,16,Windows 10,3.35,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,moderetly expensive
200,HP,Probook 470,Notebook,17.3,2073600,8,Windows 10,2.5,Intel Core i7,Nvidia GeForce Graphics, SSD,256,moderetly expensive
201,Dell,Inspiron 7577,Gaming,15.6,8294400,16,Windows 10,2.65,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1512,expinsive
202,Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,1049088,4,Windows 10,2.1,Intel Core i5,Intel HD Graphics, SSD,128,inexpensive
203,Acer,Aspire E5-576G,Notebook,15.6,2073600,8,Windows 10,2.23,Intel Core i7,Nvidia GeForce Graphics, HDD,1000,ideal price
204,Lenovo,Legion Y720-15IKB,Gaming,15.6,2073600,16,Windows 10,3.2,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1512,expinsive
205,Dell,Precision 7520,Workstation,15.6,8294400,16,Windows 10,2.8,Other,Nvidia Quadro, SSD&HDD,1256,very expensive
206,Lenovo,Legion Y520-15IKBN,Gaming,15.6,2073600,16,No OS,2.4,Intel Core i7,Nvidia GeForce Graphics, SSD,512,moderetly expensive
207,Dell,Inspiron 3567,Notebook,15.6,1049088,6,Windows 10,2.3,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
208,Dell,XPS 13,Ultrabook,13.3,8294400,8,Windows 10,1.21,Intel Core i7,Intel UHD Graphics, SSD,256,expinsive
209,Dell,XPS 13,Ultrabook,13.3,2073600,8,Windows 10,1.2,Intel Core i7,Intel UHD Graphics, SSD,256,moderetly expensive
210,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1049088,8,Windows 10,2.2,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
211,Acer,Aspire 7,Notebook,15.6,2073600,8,Linux,2.4,Intel Core i7,Nvidia GeForce Graphics, HDD,1000,ideal price
212,Asus,ROG GL703VD-GC028T,Gaming,17.3,2073600,16,Windows 10,2.9,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,moderetly expensive
213,HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Notebook,15.6,2073600,4,No OS,2.1,Intel Core i3,Intel HD Graphics, HDD,500,inexpensive
214,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,2073600,8,No OS,2.2,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
215,Huawei,MateBook X,Ultrabook,13,3110400,8,Windows 10,1.05,Intel Core i7,Intel HD Graphics, SSD,512,moderetly expensive
216,Dell,Inspiron 5370,Ultrabook,13.3,2073600,8,Windows 10,1.4,Intel Core i7,AMD Radeon Graphics, SSD,256,ideal price
217,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1440000,8,No OS,2.8,Intel Core i5,Nvidia GeForce Graphics, HDD,1000,ideal price
218,HP,Probook 440,Notebook,14,2073600,8,Windows 10,1.63,Intel Core i7,Nvidia GeForce Graphics, SSD,256,moderetly expensive
219,Dell,Latitude 5490,Ultrabook,14,2073600,8,Windows 10,1.6,Intel Core i5,Intel UHD Graphics, SSD,256,moderetly expensive
220,Dell,Inspiron 5379,2 in 1 Convertible,13.3,2073600,16,Windows 10,1.62,Intel Core i7,Intel UHD Graphics, SSD,512,moderetly expensive
221,Dell,Inspiron 3576,Notebook,15.6,2073600,8,Linux,2.2,Intel Core i5,AMD Radeon Graphics, SSD,256,ideal price
222,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14,2073600,8,Windows 10,1.74,Intel Core i5,Intel UHD Graphics, SSD,256,ideal price
223,Toshiba,Portege Z30-C-16L,Ultrabook,13.3,2073600,8,Windows 10,1.2,Intel Core i7,Intel HD Graphics, SSD,256,moderetly expensive
224,HP,ProBook 450,Notebook,15.6,2073600,8,Windows 10,2.1,Intel Core i5,Intel UHD Graphics, HDD,1000,ideal price
225,Dell,Alienware 17,Gaming,17.3,2073600,16,Windows 10,4.42,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,very expensive
226,Acer,Aspire E5-576G,Notebook,15.6,2073600,8,Windows 10,2.2,Intel Core i7,Nvidia GeForce Graphics, SSD,256,ideal price
227,Dell,Inspiron 5567,Notebook,15.6,2073600,16,Windows 10,2.3,Intel Core i7,AMD Radeon Graphics, HDD,1000,ideal price
228,Asus,Vivobook X541UV-DM1217T,Notebook,15.6,2073600,8,Windows 10,2,Intel Core i5,Nvidia GeForce Graphics, SSD,256,ideal price
229,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,2073600,8,Windows 10,2.69,Intel Core i5,Nvidia GeForce Graphics, SSD&HDD,756,ideal price
230,HP,ZBook 15u,Notebook,15.6,2073600,8,Windows 10,1.9,Intel Core i7,Other, HDD,1000,moderetly expensive
231,Asus,Pro P2540UA-XO0198T,Notebook,15.6,1049088,4,Windows 10,2.37,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
232,HP,15-rb013nv (E2-9000e/4GB/500GB/W10),Notebook,15.6,1049088,4,Windows 10,2.1,AMD E-Series,AMD Radeon Graphics, HDD,500,inexpensive
233,Lenovo,Legion Y720-15IKB,Gaming,15.6,2073600,16,Windows 10,3.2,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,moderetly expensive
234,Dell,Vostro 5468,Notebook,14,2073600,8,Windows 10,1.6,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
235,Acer,Aspire R7,2 in 1 Convertible,13.3,2073600,8,Windows 10,1.6,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
236,Dell,Inspiron 5567,Notebook,15.6,2073600,16,Linux,2.36,Intel Core i7,AMD Radeon Graphics, SSD,256,ideal price
237,Acer,Aspire A315-51,Notebook,15.6,1049088,4,Linux,2.1,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
238,Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,15.6,2073600,4,Windows 10,2.2,AMD A-Series,AMD Radeon Graphics, SSD&HDD,1128,ideal price
239,Asus,ROG G703VI-E5062T,Gaming,17.3,2073600,32,Windows 10,4.7,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1512,very expensive
240,Acer,Nitro AN515-51,Gaming,15.6,2073600,8,Windows 10,2.5,Intel Core i5,Nvidia GeForce Graphics, SSD,256,ideal price
241,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1049088,8,Windows 10,2.2,Intel Core i3,Intel HD Graphics, SSD,128,ideal price
242,Asus,VivoBook Pro,Notebook,17.3,2073600,8,Windows 10,2.1,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1128,moderetly expensive
243,Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Notebook,17.3,2073600,8,No OS,2.69,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1128,ideal price
244,Dell,Inspiron 5577,Gaming,15.6,2073600,8,Windows 10,2.56,Intel Core i5,Nvidia GeForce Graphics, SSD,256,ideal price
245,Lenovo,Yoga 910-13IKB,2 in 1 Convertible,13.9,2073600,8,Windows 10,1.38,Intel Core i7,Intel HD Graphics, SSD,256,moderetly expensive
246,Dell,Inspiron 5570,Notebook,15.6,2073600,8,Windows 10,2.2,Intel Core i7,AMD Radeon Graphics, SSD&HDD,2128,ideal price
247,HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Notebook,15.6,1049088,8,Windows 10,2.04,Intel Core i5,Intel HD Graphics, HDD,1000,ideal price
248,Asus,Rog G701VIK-BA060T,Gaming,17.3,2073600,16,Windows 10,3.6,Intel Core i7,Nvidia GeForce Graphics, SSD,256,very expensive
249,HP,ProBook 430,Notebook,13.3,2073600,4,Windows 10,1.49,Intel Core i5,Intel UHD Graphics, HDD,500,ideal price
250,Apple,MacBook Pro,Ultrabook,13.3,4096000,8,macOS,1.37,Intel Core i5,Intel Iris Graphics, SSD,512,very expensive
251,Dell,Inspiron 5579,2 in 1 Convertible,15.6,2073600,8,Windows 10,2.08,Intel Core i7,Intel UHD Graphics, HDD,1000,ideal price
252,Asus,ROG G752VSK-GC493T,Gaming,17.3,2073600,16,Windows 10,4.3,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,expinsive
253,Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,1049088,4,Windows 10,1.68,AMD A-Series,AMD Radeon Graphics, HDD,1000,inexpensive
254,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,2073600,8,Windows 10,1.37,Intel Core i7,Intel UHD Graphics, SSD,512,expinsive
255,Acer,Aspire 5,Notebook,17.3,2073600,4,Windows 10,3,Intel Core i3,Nvidia GeForce Graphics, SSD,256,ideal price
256,Dell,Vostro 5370,Ultrabook,13.3,2073600,8,Windows 10,1.41,Intel Core i5,Intel UHD Graphics, SSD,256,ideal price
257,HP,15-BW094nd (A6-9220/8GB/128GB/W10),Notebook,15.6,1049088,8,Windows 10,1.91,AMD A-Series,AMD Radeon Graphics, SSD,128,inexpensive
258,HP,Envy 17-U275cl,Notebook,17.3,2073600,16,Windows 10,2.9,Intel Core i7,Nvidia GeForce Graphics, HDD,1000,moderetly expensive
259,MSI,GT73EVR 7RE,Gaming,17.3,2073600,16,Windows 10,4.14,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1512,very expensive
260,Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,2073600,8,Windows 10,2,Intel Core i7,Nvidia GeForce Graphics, SSD,512,expinsive
261,Dell,Inspiron 5770,Notebook,17.3,2073600,8,Windows 10,2.8,Intel Core i7,AMD Radeon Graphics, SSD&HDD,1128,moderetly expensive
262,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,2073600,4,No OS,2.2,Intel Core i3,Intel HD Graphics, SSD,256,inexpensive
263,HP,ProBook 450,Notebook,15.6,2073600,4,Windows 10,2.1,Intel Core i5,Intel HD Graphics, HDD,500,ideal price
264,Dell,Vostro 3568,Notebook,15.6,2073600,4,Windows 10,2.18,Intel Core i5,Intel HD Graphics, HDD,1000,ideal price
265,Dell,Inspiron 3567,Notebook,15.6,2073600,8,Windows 10,2.24,Intel Core i5,AMD Radeon Graphics, HDD,1000,ideal price
266,Dell,Inspiron 5579,2 in 1 Convertible,15.6,2073600,8,Windows 10,2.67,Intel Core i5,Intel UHD Graphics, SSD,256,ideal price
267,Asus,ZenBook Flip,2 in 1 Convertible,13.3,2073600,8,Windows 10,1.1,Intel Core i7,Intel UHD Graphics, SSD,1024,moderetly expensive
268,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,2073600,4,No OS,2.2,Intel Core i5,Intel HD Graphics, HDD,1000,inexpensive
269,HP,Probook 470,Notebook,17.3,2073600,8,Windows 10,2.5,Intel Core i7,Nvidia GeForce Graphics, HDD,1000,moderetly expensive
270,Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,15.6,2073600,8,Windows 10,2.05,Intel Core i7,Intel UHD Graphics, SSD,256,ideal price
271,Apple,MacBook Pro,Ultrabook,13.3,4096000,8,macOS,1.37,Intel Core i5,Intel Iris Graphics, SSD,512,expinsive
272,Asus,Rog Strix,Gaming,17.3,2073600,16,Windows 10,3.2,Other,AMD Radeon Graphics, SSD&HDD,1256,expinsive
273,Dell,Inspiron 3576,Notebook,15.6,2073600,8,Linux,2.14,Intel Core i7,AMD Radeon Graphics, SSD,256,ideal price
274,Lenovo,ThinkPad X1,2 in 1 Convertible,14,3686400,16,Windows 10,1.36,Intel Core i7,Intel HD Graphics, SSD,512,very expensive
275,Toshiba,Satellite Pro,Notebook,15.6,1049088,8,Windows 10,2.2,Intel Core i7,Nvidia GeForce Graphics, HDD,500,ideal price
276,Dell,Inspiron 5567,Notebook,15.6,1049088,12,Windows 10,2.3,Intel Core i7,Intel HD Graphics, HDD,1000,ideal price
277,Dell,Inspiron 5770,Notebook,17.3,2073600,8,Linux,2.8,Intel Core i7,AMD Radeon Graphics, SSD&HDD,1128,moderetly expensive
278,Acer,Aspire A515-51G,Notebook,15.6,2073600,8,Windows 10,2.2,Intel Core i7,Nvidia GeForce Graphics, HDD,1000,ideal price
279,Lenovo,IdeaPad 320-17ISK,Notebook,17.3,1440000,4,Windows 10,2.8,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
280,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,2073600,8,No OS,2.8,Intel Core i7,Nvidia GeForce Graphics, HDD,2000,ideal price
281,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1440000,6,Windows 10,2.8,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1128,ideal price
282,Dell,Inspiron 3567,Notebook,15.6,2073600,4,Linux,2.25,Intel Core i3,AMD Radeon Graphics, HDD,1000,inexpensive
283,Lenovo,Legion Y520-15IKBN,Gaming,15.6,2073600,8,Windows 10,2.5,Intel Core i5,Nvidia GeForce Graphics, SSD,256,ideal price
284,Lenovo,Ideapad 320-15IKBN,Notebook,15.6,2073600,6,Windows 10,2.2,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
285,Acer,Aspire A517-51G,Notebook,15.6,2073600,8,Windows 10,3,Intel Core i7,Nvidia GeForce Graphics, SSD,256,ideal price
286,Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Notebook,15.6,2073600,12,Windows 10,2.15,Intel Core i7,Intel HD Graphics, HDD,1000,ideal price
287,Lenovo,Thinkpad T570,Notebook,15.6,2073600,8,Windows 10,1.95,Intel Core i7,Intel HD Graphics, SSD,256,moderetly expensive
288,Asus,VivoBook S15,Ultrabook,15.6,2073600,8,Windows 10,1.7,Intel Core i5,Nvidia GeForce Graphics, SSD,256,ideal price
289,Lenovo,Legion Y520-15IKBN,Gaming,15.6,2073600,16,Windows 10,2.5,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,moderetly expensive
290,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,2073600,8,No OS,2.2,Intel Core i7,Nvidia GeForce Graphics, HDD,1000,ideal price
291,Acer,Chromebook C910-C2ST,Notebook,15.6,1049088,2,Chrome OS,2.19,Intel Celeron,Intel HD Graphics, SSD,16,inexpensive
292,Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,17.3,2073600,8,Windows 10,3,Intel Core i7,Nvidia GeForce Graphics, HDD,1000,moderetly expensive
293,HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,17.3,1440000,8,Windows 10,2.54,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
294,Dell,XPS 15,Notebook,15.6,2073600,8,Windows 10,2,Intel Core i7,Nvidia GeForce Graphics, SSD,256,expinsive
295,Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,15.6,2073600,8,Windows 10,2.05,Intel Core i5,Intel UHD Graphics, SSD,256,ideal price
296,Lenovo,Legion Y720-15IKB,Gaming,15.6,2073600,8,Windows 10,3.2,Intel Core i7,Nvidia GeForce Graphics, HDD,1000,moderetly expensive
297,Acer,Aspire A715-71G,Notebook,15.6,2073600,8,Linux,2.5,Intel Core i7,Nvidia GeForce Graphics, SSD,256,ideal price
298,Dell,Precision 7720,Workstation,17.3,2073600,16,Windows 10,3.42,Intel Core i7,Nvidia Quadro, SSD,256,very expensive
299,Lenovo,IdeaPad 310-15ABR,Notebook,15.6,2073600,6,Windows 10,2.4,AMD A-Series,AMD Radeon Graphics, HDD,1000,inexpensive
300,Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,2073600,16,Windows 10,1.63,Intel Core i7,Nvidia GeForce Graphics, SSD,512,moderetly expensive
301,Asus,VivoBook S14,Notebook,14,1049088,4,Windows 10,1.3,Intel Core i3,Intel HD Graphics, SSD,128,ideal price
302,Asus,Rog GL702VS-GC095T,Gaming,17.3,2073600,16,Windows 10,2.9,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,very expensive
303,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1440000,6,Windows 10,2.8,Intel Core i5,Nvidia GeForce Graphics, HDD,1000,ideal price
304,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1049088,8,No OS,2.2,Intel Core i5,Nvidia GeForce Graphics, HDD,2000,ideal price
305,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,2073600,8,Windows 10,2.5,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1128,moderetly expensive
306,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1049088,4,No OS,2.2,Intel Pentium,Intel HD Graphics, HDD,1000,inexpensive
307,HP,EliteBook x360,2 in 1 Convertible,13.3,2073600,16,Windows 10,1.28,Intel Core i7,Intel HD Graphics, SSD,256,expinsive
308,Toshiba,Satellite Pro,Notebook,15.6,2073600,8,Windows 10,2.2,Intel Core i7,Nvidia GeForce Graphics, SSD,256,moderetly expensive
309,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,2073600,8,Windows 10,2.3,Intel Core i5,Nvidia GeForce Graphics, SSD&HDD,1128,ideal price
310,HP,250 G6,Notebook,15.6,2073600,4,Windows 10,1.86,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
311,Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,2073600,8,Windows 10,1.1,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
312,Dell,XPS 13,Ultrabook,13.3,8294400,16,Windows 10,1.21,Intel Core i7,Intel UHD Graphics, SSD,1000,very expensive
313,MSI,GE63VR 7RF,Gaming,15.6,2073600,16,Windows 10,2.8,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,very expensive
314,Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,2073600,8,Windows 10,2.23,AMD A-Series,AMD Radeon Graphics, SSD,256,inexpensive
315,Asus,VivoBook Flip,2 in 1 Convertible,11.6,1049088,2,Windows 10,1.1,Intel Celeron,Intel HD Graphics, Flash Storage,32,inexpensive
316,Dell,Inspiron 5570,Notebook,15.6,2073600,8,Windows 10,2.33,Intel Core i5,AMD Radeon Graphics, SSD&HDD,1128,ideal price
317,HP,Spectre x360,2 in 1 Convertible,13.3,8294400,16,Windows 10,1.29,Intel Core i7,Intel UHD Graphics, SSD,1000,very expensive
318,Lenovo,ThinkPad 13,Notebook,13.3,1049088,4,Chrome OS,1.45,Intel Celeron,Intel HD Graphics, Flash Storage,16,inexpensive
319,HP,ProBook 640,Notebook,14,2073600,8,Windows 10,1.95,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
320,Acer,TravelMate B,Notebook,11.6,1049088,4,Windows 10,1.4,Intel Pentium,Intel HD Graphics, Flash Storage,128,inexpensive
321,HP,Elitebook 840,Notebook,14,2073600,8,Windows 10,1.48,Intel Core i7,Intel HD Graphics, SSD,256,moderetly expensive
322,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1440000,4,Windows 10,2.79,Intel Core i5,Nvidia GeForce Graphics, HDD,1000,ideal price
323,Asus,ZenBook UX410UA-GV183T,Notebook,14,2073600,8,Windows 10,2,Intel Core i7,Intel HD Graphics, SSD,256,moderetly expensive
324,HP,ProBook 450,Notebook,15.6,1049088,8,Windows 10,2.1,Intel Core i7,Intel UHD Graphics, HDD,1000,ideal price
325,Acer,Aspire 5,Notebook,15.6,1049088,8,Windows 10,2.2,AMD A-Series,AMD Radeon Graphics, SSD,256,ideal price
326,Lenovo,IdeaPad 120S-14IAP,Notebook,14,1049088,4,Windows 10,1.44,Intel Celeron,Intel HD Graphics, Flash Storage,32,inexpensive
327,Acer,Aspire E5-575,Notebook,15.6,1049088,6,Windows 10,2.23,Intel Core i5,Intel HD Graphics, HDD,1000,ideal price
328,Asus,VivoBook S15,Ultrabook,15.6,2073600,8,Windows 10,1.7,Intel Core i7,Nvidia GeForce Graphics, SSD,256,moderetly expensive
329,HP,Elitebook 820,Ultrabook,12.5,2073600,8,Windows 10,1.26,Intel Core i7,Intel HD Graphics, SSD,256,moderetly expensive
330,Dell,XPS 15,Notebook,15.6,8294400,32,Windows 10,2.06,Intel Core i7,Nvidia GeForce Graphics, SSD,1000,very expensive
331,MSI,GL72M 7REX,Gaming,17.3,2073600,8,Windows 10,2.7,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1256,moderetly expensive
332,Toshiba,Satellite Pro,Notebook,15.6,2073600,8,Windows 10,2,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
333,Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14,2073600,8,Windows 10,2,Intel Core i7,Intel HD Graphics, SSD&HDD,1256,moderetly expensive
334,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,2073600,4,Windows 10,1.85,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
335,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,2073600,8,Windows 10,2.5,Intel Core i7,Nvidia GeForce Graphics, SSD,256,ideal price
336,HP,EliteBook 840,Notebook,14,2073600,8,Windows 10,1.48,Intel Core i5,Intel HD Graphics, SSD,256,moderetly expensive
337,Dell,Inspiron 7570,Ultrabook,15.6,2073600,8,Windows 10,1.9,Intel Core i5,Nvidia GeForce Graphics, SSD&HDD,1128,moderetly expensive
338,HP,Elitebook 850,Notebook,15.6,2073600,8,Windows 10,1.84,Intel Core i5,Intel HD Graphics, SSD,256,moderetly expensive
339,Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,1049088,4,Linux,2,Intel Celeron,Intel HD Graphics, HDD,1000,inexpensive
340,Dell,Inspiron 7570,Notebook,15.6,2073600,8,Windows 10,2,Intel Core i5,Nvidia GeForce Graphics, SSD,256,moderetly expensive
341,Dell,Inspiron 3552,Notebook,15.6,1049088,4,Linux,2.2,Intel Celeron,Intel HD Graphics, HDD,500,inexpensive
342,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,2073600,12,Windows 10,2.2,AMD A-Series,AMD Radeon Graphics, HDD,2000,ideal price
343,HP,ProBook 450,Notebook,15.6,2073600,8,Windows 10,2.1,Intel Core i3,Nvidia GeForce Graphics, HDD,1000,ideal price
344,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,8294400,16,Windows 10,1.4,Intel Core i7,Intel UHD Graphics, SSD,512,very expensive
345,Dell,XPS 13,Ultrabook,13.3,2073600,8,Windows 10,1.2,Intel Core i7,Intel UHD Graphics, SSD,256,expinsive
346,Lenovo,Legion Y520-15IKBN,Gaming,15.6,2073600,16,Windows 10,2.4,Intel Core i7,Nvidia GeForce Graphics, SSD HDD,2256,moderetly expensive
347,HP,Stream 14-AX001nv,Notebook,14,1049088,2,Windows 10,1.44,Intel Celeron,Intel HD Graphics, Flash Storage,32,inexpensive
348,Dell,Latitude 5590,Ultrabook,15.6,2073600,16,Windows 10,1.88,Intel Core i7,Intel UHD Graphics, SSD,768,expinsive
349,Asus,VivoBook Flip,2 in 1 Convertible,11.6,1049088,4,Windows 10,1.5,Intel Celeron,Intel HD Graphics, Flash Storage,32,inexpensive
350,Dell,Inspiron 5570,Ultrabook,15.6,2073600,8,Windows 10,1.9,Intel Core i5,AMD Radeon Graphics, HDD,1000,ideal price
351,Dell,XPS 15,Notebook,15.6,8294400,16,Windows 10,2.06,Intel Core i7,Nvidia GeForce Graphics, SSD,512,very expensive
352,HP,Elitebook 850,Notebook,15.6,2073600,8,Windows 10,1.84,Intel Core i7,Intel HD Graphics, SSD,256,moderetly expensive
353,MSI,GP72MVR 7RFX,Gaming,17.3,2073600,8,Windows 10,2.7,Intel Core i7,Nvidia GeForce Graphics, SSD&HDD,1128,moderetly expensive
354,HP,Zbook 15,Workstation,15.6,2073600,8,Windows 10,2.6,Intel Core i7,Nvidia Quadro, SSD,256,expinsive
355,Toshiba,Tecra A50-C-21G,Notebook,15.6,2073600,16,Windows 10,2.4,Intel Core i7,Nvidia GeForce Graphics, SSD,512,moderetly expensive
356,Dell,Inspiron 5570,Notebook,15.6,2073600,8,Windows 10,2.02,Intel Core i7,AMD Radeon Graphics, SSD&HDD,2128,ideal price
357,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1049088,4,No OS,2.2,Intel Celeron,Intel HD Graphics, HDD,1000,inexpensive
358,Dell,Inspiron 7577,Gaming,15.6,2073600,8,Windows 10,2.65,Intel Core i5,Nvidia GeForce Graphics, HDD,1000,ideal price
359,Dell,Inspiron 3567,Notebook,15.6,1049088,8,Windows 10,2.36,Intel Core i5,Intel HD Graphics, HDD,2000,ideal price
360,Dell,Latitude 7480,Notebook,14,2073600,8,Windows 10,1.36,Intel Core i5,Intel HD Graphics, SSD,256,moderetly expensive
361,HP,250 G6,Notebook,15.6,1049088,4,Windows 10,1.86,Intel Core i3,Intel HD Graphics, HDD,500,inexpensive
362,Asus,Zenbook UX410UA-GV027T,Notebook,14,2073600,8,Windows 10,2,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
363,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1440000,6,Windows 10,2.8,Intel Core i5,Nvidia GeForce Graphics, SSD&HDD,1128,ideal price
364,HP,250 G6,Notebook,15.6,2073600,8,Windows 10,1.86,Intel Core i5,Intel HD Graphics, HDD,1000,ideal price
365,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1049088,8,No OS,2.2,Intel Core i3,Nvidia GeForce Graphics, SSD,256,inexpensive
