"Company","TypeName","Inches","ScreenResolution","Ram","OpSys","Weight","Price_euros","CPU","GPU","MemoryType","MemorySize","price"
"Razer","Gaming",17.3,8294400,32,"Windows 10",3.49,6099,"Intel Core i7","Nvidia GeForce Graphics"," SSD",1000,"very expensive"
"HP","Notebook",13.3,2073600,8,"Windows 10",1.49,959,"Intel Core i5","Intel UHD Graphics"," SSD",512,"ideal price"
"HP","Gaming",17.3,2073600,16,"Windows 10",3.35,1379,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"moderetly expensive"
"HP","Notebook",17.3,2073600,8,"Windows 10",2.5,1045,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"moderetly expensive"
"Dell","Gaming",15.6,8294400,16,"Windows 10",2.65,1845,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1512,"expinsive"
"Lenovo","Notebook",15.6,1049088,4,"Windows 10",2.1,493,"Intel Core i5","Intel HD Graphics"," SSD",128,"inexpensive"
"Acer","Notebook",15.6,2073600,8,"Windows 10",2.23,742,"Intel Core i7","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"Lenovo","Gaming",15.6,2073600,16,"Windows 10",3.2,1749,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1512,"expinsive"
"Dell","Workstation",15.6,8294400,16,"Windows 10",2.8,3055,"Other","Nvidia Quadro"," SSD&HDD",1256,"very expensive"
"Lenovo","Gaming",15.6,2073600,16,"No OS",2.4,1398,"Intel Core i7","Nvidia GeForce Graphics"," SSD",512,"moderetly expensive"
"Dell","Notebook",15.6,1049088,6,"Windows 10",2.3,439,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"Dell","Ultrabook",13.3,8294400,8,"Windows 10",1.21,1949,"Intel Core i7","Intel UHD Graphics"," SSD",256,"expinsive"
"Dell","Ultrabook",13.3,2073600,8,"Windows 10",1.2,1449,"Intel Core i7","Intel UHD Graphics"," SSD",256,"moderetly expensive"
"Lenovo","Notebook",15.6,1049088,8,"Windows 10",2.2,597,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Acer","Notebook",15.6,2073600,8,"Linux",2.4,779,"Intel Core i7","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"Asus","Gaming",17.3,2073600,16,"Windows 10",2.9,1407,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"moderetly expensive"
"HP","Notebook",15.6,2073600,4,"No OS",2.1,349,"Intel Core i3","Intel HD Graphics"," HDD",500,"inexpensive"
"Lenovo","Notebook",15.6,2073600,8,"No OS",2.2,549,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Huawei","Ultrabook",13,3110400,8,"Windows 10",1.05,1499,"Intel Core i7","Intel HD Graphics"," SSD",512,"moderetly expensive"
"Dell","Ultrabook",13.3,2073600,8,"Windows 10",1.4,931.88,"Intel Core i7","AMD Radeon Graphics"," SSD",256,"ideal price"
"Lenovo","Notebook",17.3,1440000,8,"No OS",2.8,589,"Intel Core i5","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"HP","Notebook",14,2073600,8,"Windows 10",1.63,1031,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"moderetly expensive"
"Dell","Ultrabook",14,2073600,8,"Windows 10",1.6,1149,"Intel Core i5","Intel UHD Graphics"," SSD",256,"moderetly expensive"
"Dell","2 in 1 Convertible",13.3,2073600,16,"Windows 10",1.62,1279,"Intel Core i7","Intel UHD Graphics"," SSD",512,"moderetly expensive"
"Dell","Notebook",15.6,2073600,8,"Linux",2.2,677.35,"Intel Core i5","AMD Radeon Graphics"," SSD",256,"ideal price"
"Lenovo","2 in 1 Convertible",14,2073600,8,"Windows 10",1.74,899,"Intel Core i5","Intel UHD Graphics"," SSD",256,"ideal price"
"Toshiba","Ultrabook",13.3,2073600,8,"Windows 10",1.2,1363,"Intel Core i7","Intel HD Graphics"," SSD",256,"moderetly expensive"
"HP","Notebook",15.6,2073600,8,"Windows 10",2.1,794,"Intel Core i5","Intel UHD Graphics"," HDD",1000,"ideal price"
"Dell","Gaming",17.3,2073600,16,"Windows 10",4.42,2456.34,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"very expensive"
"Acer","Notebook",15.6,2073600,8,"Windows 10",2.2,832,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Dell","Notebook",15.6,2073600,16,"Windows 10",2.3,859.01,"Intel Core i7","AMD Radeon Graphics"," HDD",1000,"ideal price"
"Asus","Notebook",15.6,2073600,8,"Windows 10",2,769,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Asus","Notebook",17.3,2073600,8,"Windows 10",2.69,891,"Intel Core i5","Nvidia GeForce Graphics"," SSD&HDD",756,"ideal price"
"HP","Notebook",15.6,2073600,8,"Windows 10",1.9,1269,"Intel Core i7","Other"," HDD",1000,"moderetly expensive"
"Asus","Notebook",15.6,1049088,4,"Windows 10",2.37,398.99,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"HP","Notebook",15.6,1049088,4,"Windows 10",2.1,330,"AMD E-Series","AMD Radeon Graphics"," HDD",500,"inexpensive"
"Lenovo","Gaming",15.6,2073600,16,"Windows 10",3.2,1499,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"moderetly expensive"
"Dell","Notebook",14,2073600,8,"Windows 10",1.6,859,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Acer","2 in 1 Convertible",13.3,2073600,8,"Windows 10",1.6,689,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Dell","Notebook",15.6,2073600,16,"Linux",2.36,899,"Intel Core i7","AMD Radeon Graphics"," SSD",256,"ideal price"
"Acer","Notebook",15.6,1049088,4,"Linux",2.1,390,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"Asus","Notebook",15.6,2073600,4,"Windows 10",2.2,575,"AMD A-Series","AMD Radeon Graphics"," SSD&HDD",1128,"ideal price"
"Asus","Gaming",17.3,2073600,32,"Windows 10",4.7,3890,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1512,"very expensive"
"Acer","Gaming",15.6,2073600,8,"Windows 10",2.5,846,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Lenovo","Notebook",15.6,1049088,8,"Windows 10",2.2,589,"Intel Core i3","Intel HD Graphics"," SSD",128,"ideal price"
"Asus","Notebook",17.3,2073600,8,"Windows 10",2.1,1145,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1128,"moderetly expensive"
"Asus","Notebook",17.3,2073600,8,"No OS",2.69,889,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1128,"ideal price"
"Dell","Gaming",15.6,2073600,8,"Windows 10",2.56,879,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Lenovo","2 in 1 Convertible",13.9,2073600,8,"Windows 10",1.38,1079,"Intel Core i7","Intel HD Graphics"," SSD",256,"moderetly expensive"
"Dell","Notebook",15.6,2073600,8,"Windows 10",2.2,985,"Intel Core i7","AMD Radeon Graphics"," SSD&HDD",2128,"ideal price"
"HP","Notebook",15.6,1049088,8,"Windows 10",2.04,559,"Intel Core i5","Intel HD Graphics"," HDD",1000,"ideal price"
"Asus","Gaming",17.3,2073600,16,"Windows 10",3.6,2999,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"very expensive"
"HP","Notebook",13.3,2073600,4,"Windows 10",1.49,675,"Intel Core i5","Intel UHD Graphics"," HDD",500,"ideal price"
"Apple","Ultrabook",13.3,4096000,8,"macOS",1.37,2040,"Intel Core i5","Intel Iris Graphics"," SSD",512,"very expensive"
"Dell","2 in 1 Convertible",15.6,2073600,8,"Windows 10",2.08,819,"Intel Core i7","Intel UHD Graphics"," HDD",1000,"ideal price"
"Asus","Gaming",17.3,2073600,16,"Windows 10",4.3,1799,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"expinsive"
"Asus","Notebook",15.6,1049088,4,"Windows 10",1.68,469,"AMD A-Series","AMD Radeon Graphics"," HDD",1000,"inexpensive"
"Lenovo","2 in 1 Convertible",13.9,2073600,8,"Windows 10",1.37,1849,"Intel Core i7","Intel UHD Graphics"," SSD",512,"expinsive"
"Acer","Notebook",17.3,2073600,4,"Windows 10",3,702,"Intel Core i3","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Dell","Ultrabook",13.3,2073600,8,"Windows 10",1.41,949,"Intel Core i5","Intel UHD Graphics"," SSD",256,"ideal price"
"HP","Notebook",15.6,1049088,8,"Windows 10",1.91,445.9,"AMD A-Series","AMD Radeon Graphics"," SSD",128,"inexpensive"
"HP","Notebook",17.3,2073600,16,"Windows 10",2.9,1059,"Intel Core i7","Nvidia GeForce Graphics"," HDD",1000,"moderetly expensive"
"MSI","Gaming",17.3,2073600,16,"Windows 10",4.14,2499,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1512,"very expensive"
"Lenovo","2 in 1 Convertible",15.6,2073600,8,"Windows 10",2,1699,"Intel Core i7","Nvidia GeForce Graphics"," SSD",512,"expinsive"
"Dell","Notebook",17.3,2073600,8,"Windows 10",2.8,1142,"Intel Core i7","AMD Radeon Graphics"," SSD&HDD",1128,"moderetly expensive"
"Lenovo","Notebook",15.6,2073600,4,"No OS",2.2,444,"Intel Core i3","Intel HD Graphics"," SSD",256,"inexpensive"
"HP","Notebook",15.6,2073600,4,"Windows 10",2.1,722,"Intel Core i5","Intel HD Graphics"," HDD",500,"ideal price"
"Dell","Notebook",15.6,2073600,4,"Windows 10",2.18,657,"Intel Core i5","Intel HD Graphics"," HDD",1000,"ideal price"
"Dell","Notebook",15.6,2073600,8,"Windows 10",2.24,565,"Intel Core i5","AMD Radeon Graphics"," HDD",1000,"ideal price"
"Dell","2 in 1 Convertible",15.6,2073600,8,"Windows 10",2.67,799,"Intel Core i5","Intel UHD Graphics"," SSD",256,"ideal price"
"Asus","2 in 1 Convertible",13.3,2073600,8,"Windows 10",1.1,1499,"Intel Core i7","Intel UHD Graphics"," SSD",1024,"moderetly expensive"
"Lenovo","Notebook",15.6,2073600,4,"No OS",2.2,467,"Intel Core i5","Intel HD Graphics"," HDD",1000,"inexpensive"
"HP","Notebook",17.3,2073600,8,"Windows 10",2.5,1018,"Intel Core i7","Nvidia GeForce Graphics"," HDD",1000,"moderetly expensive"
"Lenovo","Notebook",15.6,2073600,8,"Windows 10",2.05,880,"Intel Core i7","Intel UHD Graphics"," SSD",256,"ideal price"
"Apple","Ultrabook",13.3,4096000,8,"macOS",1.37,1958.9,"Intel Core i5","Intel Iris Graphics"," SSD",512,"expinsive"
"Asus","Gaming",17.3,2073600,16,"Windows 10",3.2,1549,"Other","AMD Radeon Graphics"," SSD&HDD",1256,"expinsive"
"Dell","Notebook",15.6,2073600,8,"Linux",2.14,735.07,"Intel Core i7","AMD Radeon Graphics"," SSD",256,"ideal price"
"Lenovo","2 in 1 Convertible",14,3686400,16,"Windows 10",1.36,2499,"Intel Core i7","Intel HD Graphics"," SSD",512,"very expensive"
"Toshiba","Notebook",15.6,1049088,8,"Windows 10",2.2,812,"Intel Core i7","Nvidia GeForce Graphics"," HDD",500,"ideal price"
"Dell","Notebook",15.6,1049088,12,"Windows 10",2.3,713.07,"Intel Core i7","Intel HD Graphics"," HDD",1000,"ideal price"
"Dell","Notebook",17.3,2073600,8,"Linux",2.8,1099,"Intel Core i7","AMD Radeon Graphics"," SSD&HDD",1128,"moderetly expensive"
"Acer","Notebook",15.6,2073600,8,"Windows 10",2.2,745,"Intel Core i7","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"Lenovo","Notebook",17.3,1440000,4,"Windows 10",2.8,489,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"Lenovo","Notebook",17.3,2073600,8,"No OS",2.8,849,"Intel Core i7","Nvidia GeForce Graphics"," HDD",2000,"ideal price"
"Lenovo","Notebook",17.3,1440000,6,"Windows 10",2.8,859,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1128,"ideal price"
"Dell","Notebook",15.6,2073600,4,"Linux",2.25,428,"Intel Core i3","AMD Radeon Graphics"," HDD",1000,"inexpensive"
"Lenovo","Gaming",15.6,2073600,8,"Windows 10",2.5,829,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Lenovo","Notebook",15.6,2073600,6,"Windows 10",2.2,579,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Acer","Notebook",15.6,2073600,8,"Windows 10",3,951,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Acer","Notebook",15.6,2073600,12,"Windows 10",2.15,659,"Intel Core i7","Intel HD Graphics"," HDD",1000,"ideal price"
"Lenovo","Notebook",15.6,2073600,8,"Windows 10",1.95,1097,"Intel Core i7","Intel HD Graphics"," SSD",256,"moderetly expensive"
"Asus","Ultrabook",15.6,2073600,8,"Windows 10",1.7,977,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Lenovo","Gaming",15.6,2073600,16,"Windows 10",2.5,1179,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"moderetly expensive"
"Lenovo","Notebook",15.6,2073600,8,"No OS",2.2,659.01,"Intel Core i7","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"Acer","Notebook",15.6,1049088,2,"Chrome OS",2.19,199,"Intel Celeron","Intel HD Graphics"," SSD",16,"inexpensive"
"Asus","Gaming",17.3,2073600,8,"Windows 10",3,1187,"Intel Core i7","Nvidia GeForce Graphics"," HDD",1000,"moderetly expensive"
"HP","Notebook",17.3,1440000,8,"Windows 10",2.54,489,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"Dell","Notebook",15.6,2073600,8,"Windows 10",2,1829,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"expinsive"
"Lenovo","Notebook",15.6,2073600,8,"Windows 10",2.05,739,"Intel Core i5","Intel UHD Graphics"," SSD",256,"ideal price"
"Lenovo","Gaming",15.6,2073600,8,"Windows 10",3.2,1299,"Intel Core i7","Nvidia GeForce Graphics"," HDD",1000,"moderetly expensive"
"Acer","Notebook",15.6,2073600,8,"Linux",2.5,979,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"Dell","Workstation",17.3,2073600,16,"Windows 10",3.42,2884.86,"Intel Core i7","Nvidia Quadro"," SSD",256,"very expensive"
"Lenovo","Notebook",15.6,2073600,6,"Windows 10",2.4,499,"AMD A-Series","AMD Radeon Graphics"," HDD",1000,"inexpensive"
"Asus","Ultrabook",15.6,2073600,16,"Windows 10",1.63,1468,"Intel Core i7","Nvidia GeForce Graphics"," SSD",512,"moderetly expensive"
"Asus","Notebook",14,1049088,4,"Windows 10",1.3,509,"Intel Core i3","Intel HD Graphics"," SSD",128,"ideal price"
"Asus","Gaming",17.3,2073600,16,"Windows 10",2.9,2122,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"very expensive"
"Lenovo","Notebook",17.3,1440000,6,"Windows 10",2.8,649,"Intel Core i5","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"Lenovo","Notebook",15.6,1049088,8,"No OS",2.2,549,"Intel Core i5","Nvidia GeForce Graphics"," HDD",2000,"ideal price"
"Asus","Gaming",15.6,2073600,8,"Windows 10",2.5,1265,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1128,"moderetly expensive"
"Lenovo","Notebook",15.6,1049088,4,"No OS",2.2,359.99,"Intel Pentium","Intel HD Graphics"," HDD",1000,"inexpensive"
"HP","2 in 1 Convertible",13.3,2073600,16,"Windows 10",1.28,1975,"Intel Core i7","Intel HD Graphics"," SSD",256,"expinsive"
"Toshiba","Notebook",15.6,2073600,8,"Windows 10",2.2,1043,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"moderetly expensive"
"Lenovo","Notebook",15.6,2073600,8,"Windows 10",2.3,819,"Intel Core i5","Nvidia GeForce Graphics"," SSD&HDD",1128,"ideal price"
"HP","Notebook",15.6,2073600,4,"Windows 10",1.86,469,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"Lenovo","Notebook",13.3,2073600,8,"Windows 10",1.1,999,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Dell","Ultrabook",13.3,8294400,16,"Windows 10",1.21,2499,"Intel Core i7","Intel UHD Graphics"," SSD",1000,"very expensive"
"MSI","Gaming",15.6,2073600,16,"Windows 10",2.8,2099,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"very expensive"
"Acer","Notebook",15.6,2073600,8,"Windows 10",2.23,469,"AMD A-Series","AMD Radeon Graphics"," SSD",256,"inexpensive"
"Asus","2 in 1 Convertible",11.6,1049088,2,"Windows 10",1.1,275,"Intel Celeron","Intel HD Graphics"," Flash Storage",32,"inexpensive"
"Dell","Notebook",15.6,2073600,8,"Windows 10",2.33,844,"Intel Core i5","AMD Radeon Graphics"," SSD&HDD",1128,"ideal price"
"HP","2 in 1 Convertible",13.3,8294400,16,"Windows 10",1.29,2449,"Intel Core i7","Intel UHD Graphics"," SSD",1000,"very expensive"
"Lenovo","Notebook",13.3,1049088,4,"Chrome OS",1.45,459.9,"Intel Celeron","Intel HD Graphics"," Flash Storage",16,"inexpensive"
"HP","Notebook",14,2073600,8,"Windows 10",1.95,980,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Acer","Notebook",11.6,1049088,4,"Windows 10",1.4,485,"Intel Pentium","Intel HD Graphics"," Flash Storage",128,"inexpensive"
"HP","Notebook",14,2073600,8,"Windows 10",1.48,1292,"Intel Core i7","Intel HD Graphics"," SSD",256,"moderetly expensive"
"Lenovo","Notebook",17.3,1440000,4,"Windows 10",2.79,589,"Intel Core i5","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"Asus","Notebook",14,2073600,8,"Windows 10",2,1094,"Intel Core i7","Intel HD Graphics"," SSD",256,"moderetly expensive"
"HP","Notebook",15.6,1049088,8,"Windows 10",2.1,902,"Intel Core i7","Intel UHD Graphics"," HDD",1000,"ideal price"
"Acer","Notebook",15.6,1049088,8,"Windows 10",2.2,659,"AMD A-Series","AMD Radeon Graphics"," SSD",256,"ideal price"
"Lenovo","Notebook",14,1049088,4,"Windows 10",1.44,292,"Intel Celeron","Intel HD Graphics"," Flash Storage",32,"inexpensive"
"Acer","Notebook",15.6,1049088,6,"Windows 10",2.23,549,"Intel Core i5","Intel HD Graphics"," HDD",1000,"ideal price"
"Asus","Ultrabook",15.6,2073600,8,"Windows 10",1.7,1049.9,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"moderetly expensive"
"HP","Ultrabook",12.5,2073600,8,"Windows 10",1.26,1335,"Intel Core i7","Intel HD Graphics"," SSD",256,"moderetly expensive"
"Dell","Notebook",15.6,8294400,32,"Windows 10",2.06,2639,"Intel Core i7","Nvidia GeForce Graphics"," SSD",1000,"very expensive"
"MSI","Gaming",17.3,2073600,8,"Windows 10",2.7,1199,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1256,"moderetly expensive"
"Toshiba","Notebook",15.6,2073600,8,"Windows 10",2,943,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Asus","Notebook",14,2073600,8,"Windows 10",2,1334,"Intel Core i7","Intel HD Graphics"," SSD&HDD",1256,"moderetly expensive"
"Lenovo","Notebook",15.6,2073600,4,"Windows 10",1.85,449,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"Asus","Gaming",15.6,2073600,8,"Windows 10",2.5,999,"Intel Core i7","Nvidia GeForce Graphics"," SSD",256,"ideal price"
"HP","Notebook",14,2073600,8,"Windows 10",1.48,1268,"Intel Core i5","Intel HD Graphics"," SSD",256,"moderetly expensive"
"Dell","Ultrabook",15.6,2073600,8,"Windows 10",1.9,1049,"Intel Core i5","Nvidia GeForce Graphics"," SSD&HDD",1128,"moderetly expensive"
"HP","Notebook",15.6,2073600,8,"Windows 10",1.84,1144,"Intel Core i5","Intel HD Graphics"," SSD",256,"moderetly expensive"
"Asus","Notebook",15.6,1049088,4,"Linux",2,274.99,"Intel Celeron","Intel HD Graphics"," HDD",1000,"inexpensive"
"Dell","Notebook",15.6,2073600,8,"Windows 10",2,1142.75,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"moderetly expensive"
"Dell","Notebook",15.6,1049088,4,"Linux",2.2,274.9,"Intel Celeron","Intel HD Graphics"," HDD",500,"inexpensive"
"Lenovo","Notebook",15.6,2073600,12,"Windows 10",2.2,899,"AMD A-Series","AMD Radeon Graphics"," HDD",2000,"ideal price"
"HP","Notebook",15.6,2073600,8,"Windows 10",2.1,716,"Intel Core i3","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"Lenovo","2 in 1 Convertible",13.9,8294400,16,"Windows 10",1.4,2099,"Intel Core i7","Intel UHD Graphics"," SSD",512,"very expensive"
"Dell","Ultrabook",13.3,2073600,8,"Windows 10",1.2,1579,"Intel Core i7","Intel UHD Graphics"," SSD",256,"expinsive"
"Lenovo","Gaming",15.6,2073600,16,"Windows 10",2.4,1129,"Intel Core i7","Nvidia GeForce Graphics"," SSD HDD",2256,"moderetly expensive"
"HP","Notebook",14,1049088,2,"Windows 10",1.44,279,"Intel Celeron","Intel HD Graphics"," Flash Storage",32,"inexpensive"
"Dell","Ultrabook",15.6,2073600,16,"Windows 10",1.88,1607.96,"Intel Core i7","Intel UHD Graphics"," SSD",768,"expinsive"
"Asus","2 in 1 Convertible",11.6,1049088,4,"Windows 10",1.5,375,"Intel Celeron","Intel HD Graphics"," Flash Storage",32,"inexpensive"
"Dell","Ultrabook",15.6,2073600,8,"Windows 10",1.9,663,"Intel Core i5","AMD Radeon Graphics"," HDD",1000,"ideal price"
"Dell","Notebook",15.6,8294400,16,"Windows 10",2.06,2027.42,"Intel Core i7","Nvidia GeForce Graphics"," SSD",512,"very expensive"
"HP","Notebook",15.6,2073600,8,"Windows 10",1.84,1304,"Intel Core i7","Intel HD Graphics"," SSD",256,"moderetly expensive"
"MSI","Gaming",17.3,2073600,8,"Windows 10",2.7,1409,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1128,"moderetly expensive"
"HP","Workstation",15.6,2073600,8,"Windows 10",2.6,1738.27,"Intel Core i7","Nvidia Quadro"," SSD",256,"expinsive"
"Toshiba","Notebook",15.6,2073600,16,"Windows 10",2.4,1403,"Intel Core i7","Nvidia GeForce Graphics"," SSD",512,"moderetly expensive"
"Dell","Notebook",15.6,2073600,8,"Windows 10",2.02,970.9,"Intel Core i7","AMD Radeon Graphics"," SSD&HDD",2128,"ideal price"
"Lenovo","Notebook",15.6,1049088,4,"No OS",2.2,321.99,"Intel Celeron","Intel HD Graphics"," HDD",1000,"inexpensive"
"Dell","Gaming",15.6,2073600,8,"Windows 10",2.65,999,"Intel Core i5","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"Dell","Notebook",15.6,1049088,8,"Windows 10",2.36,557.37,"Intel Core i5","Intel HD Graphics"," HDD",2000,"ideal price"
"Dell","Notebook",14,2073600,8,"Windows 10",1.36,1427,"Intel Core i5","Intel HD Graphics"," SSD",256,"moderetly expensive"
"HP","Notebook",15.6,1049088,4,"Windows 10",1.86,439,"Intel Core i3","Intel HD Graphics"," HDD",500,"inexpensive"
"Asus","Notebook",14,2073600,8,"Windows 10",2,945,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Lenovo","Notebook",17.3,1440000,6,"Windows 10",2.8,719,"Intel Core i5","Nvidia GeForce Graphics"," SSD&HDD",1128,"ideal price"
"HP","Notebook",15.6,2073600,8,"Windows 10",1.86,639,"Intel Core i5","Intel HD Graphics"," HDD",1000,"ideal price"
"Lenovo","Notebook",15.6,1049088,8,"No OS",2.2,499,"Intel Core i3","Nvidia GeForce Graphics"," SSD",256,"inexpensive"
"HP","Notebook",15.6,1049088,8,"Windows 10",2.04,389,"Intel Pentium","Intel HD Graphics"," HDD",2000,"inexpensive"
"Dell","Notebook",17.3,2073600,8,"Windows 10",2.8,1085,"Intel Core i5","AMD Radeon Graphics"," SSD&HDD",1128,"moderetly expensive"
"Lenovo","Gaming",15.6,2073600,8,"No OS",2.4,809,"Intel Core i5","Nvidia GeForce Graphics"," SSD&HDD",1128,"ideal price"
"Dell","Notebook",15.6,2073600,8,"Windows 10",2.33,899,"Intel Core i7","AMD Radeon Graphics"," SSD",256,"ideal price"
"HP","Ultrabook",14,2073600,8,"Windows 10",1.36,1750,"Intel Core i7","Intel HD Graphics"," SSD",256,"expinsive"
"Asus","2 in 1 Convertible",15.6,2073600,12,"Windows 10",2.26,1099,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",2512,"moderetly expensive"
"Acer","Notebook",15.6,1049088,4,"Windows 10",2.1,426,"AMD A-Series","AMD Radeon Graphics"," SSD",128,"inexpensive"
"Asus","Gaming",17.3,2073600,16,"Windows 10",3.25,2199,"Other","AMD Radeon Graphics"," SSD&HDD",1256,"very expensive"
"Lenovo","Notebook",17.3,1440000,4,"Windows 10",2.6,489,"AMD A-Series","AMD Radeon Graphics"," SSD",128,"inexpensive"
"Dell","2 in 1 Convertible",13.3,2073600,8,"Windows 10",1.62,869.01,"Intel Core i7","Intel UHD Graphics"," SSD",256,"ideal price"
"HP","Notebook",15.6,2073600,4,"Windows 10",1.91,488.99,"AMD A-Series","AMD Radeon Graphics"," SSD",256,"inexpensive"
"Lenovo","Netbook",11.6,1049088,4,"Windows 10",1.59,553,"Intel Celeron","Intel HD Graphics"," SSD",128,"ideal price"
"Dell","Notebook",15.6,1049088,4,"Windows 10",1.8,309,"Intel Celeron","Intel HD Graphics"," HDD",500,"inexpensive"
"Asus","Notebook",14,1049088,4,"Windows 10",1.5,286,"Intel Celeron","Intel HD Graphics"," Flash Storage",32,"inexpensive"
"Acer","Notebook",15.6,2073600,8,"Linux",2.4,846,"Intel Core i7","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
"HP","Gaming",17.3,2073600,8,"Windows 10",3.35,1191,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1128,"moderetly expensive"
"Lenovo","Notebook",15.6,2073600,4,"No OS",1.85,403.5,"Intel Core i3","Intel HD Graphics"," SSD",128,"inexpensive"
"Asus","Gaming",15.6,2073600,8,"Windows 10",2.3,1655,"Intel Core i7","Nvidia GeForce Graphics"," SSD&HDD",1128,"expinsive"
"Lenovo","Notebook",14,2073600,8,"Windows 10",1.5,1099,"Intel Core i5","Nvidia GeForce Graphics"," SSD",256,"moderetly expensive"
"Asus","Ultrabook",13.3,2073600,16,"Windows 10",1.1,1748.9,"Intel Core i7","Intel HD Graphics"," SSD",512,"expinsive"
"Lenovo","Ultrabook",14,3686400,8,"Windows 10",1.13,2282,"Intel Core i7","Intel HD Graphics"," SSD",512,"very expensive"
"Lenovo","Notebook",13.3,2073600,4,"Windows 10",1.5,549,"Intel Core i3","Intel HD Graphics"," SSD",128,"ideal price"
"Dell","Workstation",15.6,2073600,8,"Windows 10",2.23,1369,"Intel Core i5","Other"," HDD",500,"moderetly expensive"
"Dell","Workstation",15.6,2073600,8,"Windows 10",2,2135,"Intel Core i7","Nvidia Quadro"," SSD",256,"very expensive"
"Lenovo","2 in 1 Convertible",14,3686400,16,"Windows 10",1.42,2509,"Intel Core i7","Intel HD Graphics"," SSD",512,"very expensive"
"Asus","Gaming",17.3,2073600,8,"Windows 10",3,1039,"Intel Core i7","Nvidia GeForce Graphics"," HDD",1000,"moderetly expensive"
